latitude	longitude	altitude (m)	
32.91	-93.69883333	89.4	
45.71466667	7.286166667	673.2	
43.44416667	-3.884166667	36	
52.64366667	1.236333333	19.4	
46.53116667	-87.54833333	429.6	
34.12616667	-117.8771667	204.6	
40.36883333	-75.31	122.6	
44.54	10.7455	208.2	
50.49366667	-121.7045	382.7	
41.35333333	-72.93333333	22.3	
53.107	-1.3425	153.2	
43.74866667	-116.5883333	775.7	
52.012	4.545833333	-3	
52.348	-1.934666667	151	
53.025	-6.074166667	14	
42.9895	-71.653	215.3	
34.55666667	-111.8713333	988.7	
48.46116667	14.31166667	821.2	
40.7945	-111.1336667	2300.9	
37.85	-121.9528333	268	
44.85416667	-93.072	283.4	
51.9125	0.911333333		
34	-117	1030.2	
51.36333333	1.440333333	37.2	
43.42083333	-91.192	219.4	
52.73783333	4.752	1.2	
37.51666667	-122.3091667	104.5	
52.53333333	-1.040333333	115.6	
49.25966667	15.23866667	610.5	
-36.86283333	174.7386667	44.9	
37.1555	-121.6133333	276.1	
39.20333333	-78.60216667	294.1	
55.925	13.53333333	71	
49.9025	6.446333333	378.6	
28.75166667	-81.762	35.2	
40.20416667	-83.08633333	280.7	
40.789	-80.143	284.9	
43.1475	2.7295	72.8	
40.25083333	-74.683	19.1	
43.91033333	-83.38416667	180.9	
35.50333333	-84.382	299.1	
35.12666667	-90.23733333	64.2	
31.78833333	-81.6855	27.2	
40.16466667	-74.59783333	29.2	
30.21333333	-81.60166667	5.9	
26.37883333	-80.078	3.4	
46.65916667	-112.0308333	1139.3	
30.48833333	-97.84416667	294.5	
52.73416667	5.157	-2.4	
34.32866667	-118.427	507.3	
45.997	-121.5383333	593.7	
42.28283333	-72.70416667	65.9	
39.2	-119.8	1646.8	
39.3425	-94.408	272.1	
39.9075	-85.14316667	321.9	
49.1	-122.0616667	8.1	
39.04833333	-105.057	2543.3	
41.1825	-73.813	146.5	
57.647	-3.328666667	28.3	
34.12916667	-118.763	280.4	
33.685	-117.6558333	300.9	
40.96	-72.99633333	40	
42.27616667	-71.28866667	46.6	
51.6245	0.822833333		
46.5	5.9	962	
50.28583333	11.79116667	621.6	
39.11933333	-77.55583333	103.1	
44.918	-123.2958333	92.1	
53.538	-2.576666667	57.2	
47.26533333	8.8705	549.8	
39.45	-104.7333333	1895.1	
40.29533333	-78.9055	386.6	
41.743	1.712833333	390.8	
10.35533333	-66.962	1473	
44.93833333	-93.115	240.4	
56.82333333	-5.0845	19	
57.78283333	12.24883333	85.2	
38.77283333	-93.503	253.8	
40.60466667	-122.3316667	202.7	
42.59783333	-71.85	263.9	
32.38716667	-111.0413333	760.2	
39.89966667	-105.0333333	1621.3	
35.86866667	-98.19866667	365.4	
33.88133333	-83.38283333	209.5	
32.94083333	-105.842	2083.4	
34.16716667	-83.11416667	207.3	
50.66116667	-1.200833333	48	
27.598	-97.23533333	1.6	
44.04866667	1.217	95	
39.96633333	-105.0516667	1619.8	
48.462	-2.060833333	78.8	
53.0675	-2.0425	168	
40.92866667	-74.11416667	25.8	
-19.25366667	146.675	15.6	
51.42466667	5.041333333	25	
37.96033333	-121.95	106.8	
52.29	9.336333333	92.2	
41.172	-74.07166667	156.9	
35.27666667	-120.6563333	68.5	
37.7595	-122.4311667	57.8	
45.7175	-118.6863333	436.1	
29.94866667	-95.7075	45.6	
35.83833333	-80.89366667	273	
52.39083333	-0.533666667	57.6	
36.5075	-4.7275	170	
20.97033333	-100.7916667	1902.3	
38.69533333	-120.8488333	519.6	
37.21166667	-107.5361667	2126.1	
42	-5.683333333	710	
27.83116667	-97.22333333	1	
50.86883333	6.025833333	151	
40.31766667	-76.445	142.3	
46.603	-120.5558333	369.1	
40.742	-90.91216667	207.2	
30.417	-98.015	218.9	
44.35716667	-68.61333333	126.4	
60.3845	23.068	28.2	
49.88283333	12.34166667	509	
35.02633333	-76.827	12.8	
44.76666667	-74.973	124	
35.54966667	-105.888	2159.9	
41.70133333	-69.972	1.3	
51.89933333	-2.159166667	28.6	
39.62883333	-105.1186667	1745.4	
32.18666667	-110.7391667	926.3	
28.4745	-82.652	1.7	
43.9625	12.74966667	8.6	
44.43333333	-80.52083333	243.1	
53.42533333	-113.465	688	
51.35216667	-0.773833333	83	
37.3695	-122.1655	191.9	
35.96666667	-84.0205	329.4	
37.95283333	-87.39216667	132.2	
13.36466667	144.7695	6.3	
32.6005	-80.10916667	2	
62.458	6.1095	170.7	
50.37333333	7.243666667	310.2	
48.5825	-120.4008333	639.4	
47.02966667	-122.2391667	227.6	
37.784	-122.1965	63.2	
51.0695	-1.340333333	88.7	
35.248	-118.6108333	866.3	
46.65366667	-81.0265	294	
43.17116667	-76.16216667	123	
40.34533333	-74.64616667	37.1	
48.00633333	10.26416667	612.6	
54.4575	-1.093833333	130	
48.67616667	7.985833333	123	
36.03183333	-78.8025	106.6	
44.25166667	-72.78166667	241.8	
43.62716667	-116.2175	817.5	
42.3	-71.3	58.2	
39.445	-90.41366667	181.3	
45.47483333	-122.616	78.3	
40.863	-72.52633333	3.3	
40.76616667	-124.1645	43	
41.78966667	-88.12416667	228.2	
54.05533333	10.0255	23.5	
52.0095	-1.402833333	133.6	
39.47716667	-0.3775	26.2	
34.80466667	-86.76283333	257.3	
43.435	-71.62	184.2	
48.89283333	10.19383333	476.4	
47.172	-122.698	70.9	
-43.52633333	172.5883333	15.4	
47.777	-122.2091667	80.1	
34.45116667	-118.3895	549.7	
41.6005	-72.878	50.8	
57.3	-2.4	60	
39.06966667	-104.6021667	2270.3	
42.2	-122.7	549.8	
44.31116667	-69.08883333	97.7	
48.81633333	9.104666667	319.5	
50.32866667	-4.066666667	82.8	
49.66783333	11.42583333	491.2	
48.25883333	-114.2588333	895.3	
55.277	11.81633333	54	
34.98666667	-89.81966667	117.2	
57.46216667	-2.245	78.4	
34.352	-119.0816667	89.2	
41.35866667	-96.96833333	446.8	
32.62966667	-105.6845	2090.4	
45.583	11.38616667	142.4	
47.63283333	-122.2113333	108.6	
49.2	-117.1	1477.7	
49.24916667	8.324166667	116	
49.01333333	8.356166667	115	
37.29166667	-121.8063333	114.5	
58.40833333	13.27633333	83	
43.01166667	-82.4245	179.6	
35.88783333	-86.50483333	185.4	
43.68733333	-110.7353333	2022.2	
33.26033333	-111.7313333	399.7	
41.74383333	-77.2925	454	
41.4695	-90.3605	179.5	
58.24883333	-6.176333333	31.4	
32.8505	-97.10133333	187.1	
37.89416667	-89.8105	172.5	
54.872	8.9125	7.2	
34.53166667	-96.2125	187.2	
45.50883333	-73.73416667	31.9	
33.12916667	-96.68883333	210.8	
35.29033333	-89.6705	87.3	
37.99716667	-122.1261667	84.7	
42.85383333	-88.4355	250.8	
38.75216667	-91.9675	240.1	
40.56633333	22.9745	19	
40.24583333	-74.38833333	53	
44.64583333	-93.183	281.9	
34.712	-111.9091667	1033.1	
40.0455	-75.3675	126.6	
45.58883333	-95.902	341.3	
40.33133333	-75.43883333	114.6	
6.499166667	43.53116667	428.4	
44.89133333	-92.933	296.6	
52.76666667	6.368333333	7	
31.75966667	-94.66116667	148.9	
-38.20283333	175.8645	332.4	
32.98916667	-97.42383333	258.7	
35.13083333	-118.4938333	1221.4	
-22.4245	-45.53083333	896.8	
54.56133333	-0.983333333	107.8	
59.37216667	18.65466667	27	
43.042	-88.475	265.2	
45.50166667	9.2	131	
31.47283333	-110.1421667	1291.7	
45.42333333	-73.87883333	29.9	
43.3195	-110.7303333	1804.4	
34.28366667	-119.2983333	33.5	
51.5	-114.7	1229.8	
35.1705	-111.68	2138.8	
45.36366667	-122.1613333	412.1	
52.44616667	-0.8295	142.4	
-43.49633333	172.635	7.2	
34.39166667	-111.4436667	1707.2	
35.3	-106.5	1687.4	
39.17833333	-78.167	227.8	
45.70866667	-61.90166667	26.2	
21.40166667	-157.8166667	220	
41.44383333	-86.1625	250	
46.1725	9.905	317	
41.47716667	-83.4595	196.1	
46.9795	-84.78283333	191.3	
38.85033333	-77.09416667	54.9	
44.5295	-93.34666667	335.4	
40.29966667	-82.4195	317.1	
57.15333333	9.634166667	6	
38.5	-75.2	9.5	
40.27116667	-74.78	36.7	
45.1445	7.876166667	471.1	
35.4455	-118.3263333	1904.4	
45.58083333	-94.3905	365.4	
40.3195	-79.5475	350.3	
24.55266667	-81.7805	0.7	
41.69083333	-70.25633333	23.5	
-22.5755	17.07383333	1659.1	
41.75083333	-76.44283333	230.6	
52.88716667	4.735833333	2	1
41.797	-70.77616667	23.3	
38.06666667	-120.648	434.9	
46.36116667	-124.0286667	4.7	
45.41383333	-109.8661667	1598.1	
45.44383333	-122.797	61.7	
41.55166667	-88.10983333	197.6	
34.45916667	-112.373	1926.6	
46.6105	-85.039	197.1	
45.42833333	-119.6513333	472.9	
37.10583333	-122.055	255.7	
29.94916667	-95.7075	45.4	
-37.74483333	144.741	79.3	
42.68866667	-75.50083333	321.3	
47.73133333	-122.0925	92.8	
40.11883333	-75.79616667	219.2	
40.0945	-111.6305	1440.2	
34.28366667	-110.1386667	1907.5	
46.69633333	-68.033	163.6	
29.98333333	-95.65	44.1	
37.68216667	-122.0471667	165.1	
53.90383333	9.129166667	-1	
40.223	-74.2925	36.6	
40.80783333	14.35583333	76.2	
35.56133333	-80.88783333	245.3	
36.97116667	-121.9691667	20.6	
-22.67883333	14.53083333	20	
41.0445	-96.01533333	312.5	
45.26916667	-122.6913333	46.5	
28.47916667	-81.34466667	25.9	
40.83166667	-85.52583333	249.6	
40.09	-76.09866667	146.5	
43.65633333	-79.46416667	111.8	
42.543	-71.09	24.3	
39.91616667	-104.9303333	1583.7	
45.8595	-66.69866667	58.4	
46.84466667	-98.93	502.3	
32.9595	-117.1288333	182.1	
40.78266667	-73.95716667	31.5	
45.0175	9.441166667	105	
35.627	-117.8005	760	
30.12366667	-95.40216667	32.8	
35.86083333	-82.19116667	877.8	
30.12	-97.89283333	258.6	
47.3	-122.4	150.1	
49.96066667	-6.284	30.8	
28.30833333	-82.67083333	7.1	
43.11216667	-77.28133333	158.9	
42.3925	-76.41533333	257.1	
38.8045	-104.745	1830	
42.28416667	-83.86533333	268.8	
50.53066667	-3.564833333	11.9	
-27.18	152.833	66.4	
43.003	-7.553833333	456.9	
33.20166667	-116.9373333	642.4	
27.19633333	-80.2925	1.5	
26.52833333	-80.06633333	6.5	
33.5545	-117.8028333	93.5	
58.81966667	5.7465	65.6	
50.45333333	7.985833333	248	
53.54716667	7.955	2.4	
48.30833333	8.913666667	558.6	
49.15	8.15	144	
-37.08866667	174.995	111.4	
32.84016667	-116.7688333	606.8	
43.7	-116.4	772.5	
57.03716667	-2.724166667	205	
42.25916667	-79.485	399.4	
-18.15283333	-49.4695	543.2	
-41.12066667	174.9191667	75	
51.40583333	-0.761166667	77	
50.92883333	4.533333333	18.6	
51.08283333	-1.9095	65.7	
37.33616667	-122.0575	83.8	
38.02966667	-87.51716667	125.5	
33.45	-117.0833333	367.8	
40.58333333	22.955	41	
50.687	8.362833333	258.4	
52.27216667	4.822333333	-5.1	
51.60033333	-2.862833333	58.8	
52.13966667	-0.293	24.5	
49.05	20.28466667	675	
44.6	-76.4	132.1	
33.019	-96.66866667	178.6	
33.85833333	-98.4925	301.8	
47.76283333	-122.2486667	13.3	
43.268	-112.5165	1380.8	
51.87883333	5.556166667	6	
43.4625	-110.8038333	1866.8	
54.96916667	8.691166667	4.6	
39.4	-123.4	569.7	
41.01383333	-98.22616667	547.1	
39.64	-105.2761667	2259.2	
47.50683333	11.28183333	872.3	
33.87816667	-117.7218333	149.6	
46.656	7.0585	759.8	
21.022	-89.62666667	10	
33.788	-97.73133333	293.9	
34.2605	-84.51816667	342.9	
42.17866667	-71.53366667	117.8	
42.89333333	-71.0345	37.2	
45.01716667	-123.017	41	
41.401	-72.10866667	4	
39.16833333	-108.718	1383	
43.17583333	-78.83866667	143.1	
37.52433333	-122.3088333	89.7	
50.972	-2.673833333	45.6	
34.48416667	-118.337	762.1	
61.19383333	-149.7525	71.1	
52.022	4.719166667	-0.4	
43.06	-85.38616667	268.2	
34.03666667	-84.43533333	339.2	
41.874	-120.158	1457.9	
48.79666667	-123.632	151.9	
51.37466667	-2.915	6.6	
-22.70033333	17.06	2038.4	
